first_name,last_name,institution_name,class,email,phone,skype,profession,about,address,zipcode,country
Ashik,Ahmed,Jahangirnagar Science Club,8,ashik.shuvo@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ashik,Ahmed,Jahangirnagar Science Club,6,ashik.shuvo@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ashik,Ahmed,Jahangirnagar Science Club,9,ashik.shuvo@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ashik,Ahmed,Jahangirnagar Science Club,7,ashik.shuvo@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ashik,Ahmed,Jahangirnagar Science Club,11,ashik.shuvo@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ashik,Ahmed,Jahangirnagar Science Club,12,ashik.shuvo@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ashik,Ahmed,Jahangirnagar Science Club,10,ashik.shuvo@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ashik,Ahmed,Jahangirnagar Science Club,9,ashik.shuvo@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ashik,Ahmed,Jahangirnagar Science Club,6,ashik.shuvo@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ashik,Ahmed,Jahangirnagar Science Club,6,ashik.shuvo@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ashik,Ahmed,Jahangirnagar Science Club,7,ashik.shuvo@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ashik,Ahmed,Jahangirnagar Science Club,8,ashik.shuvo@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Ashik,Ahmed,Jahangirnagar Science Club,7,ashik.shuvo@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Puspita,Saha,Jahangirnagar Science Club,9,puspita.saha@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Puspita,Saha,Jahangirnagar Science Club,8,puspita.saha@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Puspita,Saha,Jahangirnagar Science Club,9,puspita.saha@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Puspita,Saha,Jahangirnagar Science Club,10,puspita.saha@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Puspita,Saha,Jahangirnagar Science Club,11,puspita.saha@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Puspita,Saha,Jahangirnagar Science Club,12,puspita.saha@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Puspita,Saha,Jahangirnagar Science Club,6,puspita.saha@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Puspita,Saha,Jahangirnagar Science Club,11,puspita.saha@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Puspita,Saha,Jahangirnagar Science Club,8,puspita.saha@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Puspita,Saha,Jahangirnagar Science Club,8,puspita.saha@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
Puspita,Khan,Jahangirnagar Science Club,6,puspita.saha@neural-semiconductor.com,1234567876,n/a,Student,n/a,Dhaka,1200,Bangladesh
